IIT Name,Score,College Code
IIT Pallakad,450419,0
IIT Madras,-1,1
IIT Tirupati,3597235,2
IIT Dharwad,510564,3
IIT Goa,442625,4
IIT Hyderabad,448087,5
IIT Bhubhaneshwar,450677,6
IIT Bombay,319069,7
IIT Gandhinagar,-1,8
IIT Indore,-1,9
IIT Bhilal,-1,10
IIT Kharagpur,440182,11
IIT Jodhpur,461271,12
IIT Varanasi,457928,13
IIT Dhanbad,445790,14
IIT Guwahati,311198,15
IIT Delhi,-1,16
IIT Kanpur,468043,17
IIT Patna,428081,18
IIT Roorkee,440790,19
IIT Ropar,441390,20
IIT Mandi,576555,21
IIT Jammu,576423,22
IIT Test,325498,23
